,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
180,2016-12-29,"RT @calumwpuppy: okay @Arzaylea you won with this comment 
#BellaThorneisOverParty https://t.co/9r7mKCHzyf",202,0,0,"[{'text': 'BellaThorneisOverParty', 'indices': [59, 82]}]"
184,2016-12-29,#TeamGOT7 379,209,0,0,"[{'text': 'TeamGOT7', 'indices': [0, 9]}]"
188,2016-12-29,RT @TherealIzlamb: .@CNN .@nytimes .@washingtonpost .@npr congrats on speading propaganda. Is research too hard? https://t.co/ck8lpS319f,561,0,0,[]
192,2016-12-29,#erotic #sextoys #babes Click my user name  to view the image and get free sex toys https://t.co/bzY0svSbnU,73,0,0,"[{'text': 'erotic', 'indices': [0, 7]}, {'text': 'sextoys', 'indices': [8, 16]}, {'text': 'babes', 'indices': [17, 23]}]"
204,2016-12-29,"RT @TheRealStanLee: @ChrisEvans Thanks, Captain.",407,0,0,[]
206,2016-12-29,ramadaniputraa  dipastikan ya. Tks ^Mary  (2/2),615,0,0,[]
217,2016-12-29,RT @theneedledrop: My New Year's resolution is to keep winning.,464,0,0,[]
235,2016-12-29,RT @Trumponly: @MySchimke @SandraTXAS @fcormier @MichaelDeitz1 @TammieW76139285 @2ALAW https://t.co/MTYWvXAoyP,1895,0,0,[]
266,2016-12-29,RT @wattpadhaven: Ava Celeste written by @kissmyredlipsWP https://t.co/EP7RgXro7P,7701,0,0,[]
275,2016-12-29,#FranceLovesSkam !! https://t.co/UYzHSR0aVi,8896,0,0,"[{'text': 'FranceLovesSkam', 'indices': [0, 16]}]"
280,2016-12-29,RT @DavidRoads: Thank you Lord! https://t.co/VEhW7TJySC,1889,0,0,[]
289,2016-12-29,RT @kevinabstract: crushin on this human got me feelin excited as fuck and happy and depressed all at once oh man wake me up in a few days,948,0,0,[]
292,2016-12-29,@BowserTGK Trust me I'm takin em whether I want to or not,485,0,0,[]
296,2016-12-29,"RT @BriBriSymoneee: Me : K. Idc. Good Night.
Him : Hit me up when you not on bs mane. 
Me : https://t.co/wjTHo4v2Cx",2218,0,0,[]
297,2016-12-29,"@Red_italian @RealKidPoker @realDonaldTrump Do the same with trump, oh please.",903,0,0,[]
301,2016-12-29,STAN SEVENTEEN STAN TALENT #TeamSeventeen 933,0,0,0,"[{'text': 'TeamSeventeen', 'indices': [27, 41]}]"
306,2016-12-29,"seeing makeupbyshayla's sc has me in tears, she's really trying to be happy",143,0,0,[]
309,2016-12-29,Now Playing: Juice Newton -  Queen Of Hearts is on Q106.8 Country Classics #NowPlayingOnQClassics,21,0,0,"[{'text': 'NowPlayingOnQClassics', 'indices': [75, 97]}]"
323,2016-12-29,"XLCare: intanfairl Hi Kak, utk upgrade simcard ke 4G, silakan bawa KTP dan SIMCARD nya dan tidak dapat diwakilkan ya Kak :) Thx^TR",2,0,0,[]
337,2016-12-29,I'm at divonne https://t.co/DGKTWxP2bu,2636,0,0,[]
353,2016-12-29,Don't Go! I feel like I'm the prettiest nabi whenever I listen to this song #TeamEXO https://t.co/98nyU60PXu,30,0,0,"[{'text': 'TeamEXO', 'indices': [76, 84]}]"
354,2016-12-29,RT @charlee_buns: Never forget https://t.co/DpySmQCc8p,174,0,0,[]
359,2016-12-29,RT @MrRazo_: any 2v2 tournaments? @EasyRTs @ShawnAbner @NightRTs @DNR_CREW @Relay_RTs @ShoutGamers @ShoutRTs,2128,0,0,[]
360,2016-12-29,Eat big burrger! #TeamGOT7 https://t.co/3TR6LKauuK,680,0,0,"[{'text': 'TeamGOT7', 'indices': [17, 26]}]"
364,2016-12-29,"Especially if they complaining and taking no action to change their situation. That's when I stop answering calls/texts, it's annoying.",1009,0,0,[]
365,2016-12-29,nia gets it,772,0,0,[]
366,2016-12-29,#TeamEXO FTW,0,0,0,"[{'text': 'TeamEXO', 'indices': [0, 8]}]"
370,2016-12-29,Phelps Reloading machine .38 special https://t.co/FElZx3YxJz,6256,0,0,[]
376,2016-12-29,I should've block several ppl but ion do that,2103,0,0,[]
378,2016-12-29,haven't been home &amp; it feels greatttt,956,0,0,[]
387,2016-12-29,"a lot, actually.",1147,0,0,[]
393,2016-12-29,"@Sam_TotallySpy Yeah, it is.",205,0,0,[]
395,2016-12-29,RT RT RT mman4 #VideoMTV2016 Lady Gaga,107,0,0,"[{'text': 'VideoMTV2016', 'indices': [15, 28]}]"
399,2016-12-29,Telkomsel: F4_U21L00P3 [2] nomor yang digunakan via DM agar terjaga kerahasiaan data. Tks. -Eben,1,0,0,[]
400,2016-12-29,RT @svndyho: Ending 2016 entirely different than what I had thought at the start of the year but I'm glad for it.,386,0,0,[]
405,2016-12-29,what's wrong,3372,0,0,[]
407,2016-12-29,NOTHING EVER GETS ME HIGH LIKE THISSSSS,1407,0,0,[]
409,2016-12-29,RT @6PAPl: orlando brown and his wife fighting on live lmfaooo https://t.co/O6i4c4UleI,278,0,0,[]
414,2016-12-29,#TeamBTS #SOOMPIAWARD i like tahta,1673,0,0,"[{'text': 'TeamBTS', 'indices': [0, 8]}, {'text': 'SOOMPIAWARD', 'indices': [9, 21]}]"
431,2016-12-29,RT @gerodufyw: Chick playing with her tits hazehim kac https://t.co/O8Xcdffynz,161,0,0,[]
432,2016-12-29,@fairytaemn it's like 3 leia,573,0,0,[]
437,2016-12-29,If I get it right am I going to hit it ? https://t.co/2CshdgZgO7,2703,0,0,[]
439,2016-12-29,"RT @God_Loved: Hold your head up high, and know God is in control he has a perfect plan for your life.",1358,0,0,[]
443,2016-12-29,RT @gunicornn: can i retire yet?,226,0,0,[]
451,2016-12-29,"Loosen up the frown
#TeamGOT7",72,0,0,"[{'text': 'TeamGOT7', 'indices': [20, 29]}]"
453,2016-12-29,"IM SO EXCITED....
#TeamBTS",74,0,0,"[{'text': 'TeamBTS', 'indices': [18, 26]}]"
464,2016-12-29,ok good night i love seungkwan and yeoreum and my mutuals so much,627,0,0,[]
469,2016-12-29,GO TO BED @kaizokucorazon,414,0,0,[]
472,2016-12-29,Aquarius Today : Couples = 66% | Travel = 85% | Friendship = 91% https://t.co/nbI4ffTqNa,49693,0,0,[]
484,2016-12-29,I liked a @YouTube video https://t.co/epOulUR7Xi Lil Dicky - Lemme Freak (Official Video),144,0,0,[]
503,2016-12-29,RT @ForQ2: @Reuters @lonepatrick @emerging_enigma What putin has on trump must make the access Hollywood tape look G rated!,126,0,0,[]
513,2016-12-29,"@PG_PrinceTrela yea ryu is really momentum based character, you gotta run with the lead and abuse rage hes like another lucario.",542,0,0,[]
518,2016-12-29,It might be incredibly hard to believe that a whole year has g... More for Taurus https://t.co/VoeRDJoY0Q,524,0,0,[]
525,2016-12-29,"Dinner Tips, Trends : https://t.co/eLikKJrqJW ,,,,",11175,0,0,[]
527,2016-12-29,RT @BruhChilI: @erica_glaum how is this even funny? it's pedophilia and it's absolutely disgusting.,1390,0,0,[]
528,2016-12-29,she's cute,14550,0,0,[]
552,2016-12-29,"RT @Tweet_2_fdp: Alors ce premier trimestre ??
-tranquille je coule au calme https://t.co/eSx5gOQgxV",10662,0,0,[]
554,2016-12-29,@malamibookstore yg tebtang dua umar harganya berapa min?,80,0,0,[]
559,2016-12-29,@gfdere FUCKING WEEBS,301,0,0,[]
566,2016-12-29,you can be king again- lyrics video https://t.co/4ykNtuWMwT,71,0,0,[]
580,2016-12-29,https://t.co/d99vddSYG6,3283,0,0,[]
590,2016-12-29,#LarryKing #MarquetteKing https://t.co/GqXKgjhayq,510,0,0,"[{'text': 'LarryKing', 'indices': [0, 10]}, {'text': 'MarquetteKing', 'indices': [11, 25]}]"
608,2016-12-29,"RT @HeathersDiary: wow, i been doing it wrong this whole time https://t.co/u3ZeuFDz4s",1115,0,0,[]
614,2016-12-29,RT @Hyrokii_ebooks: bae: convert to Islam,399,0,0,[]
618,2016-12-29,"RT @trailblazers: Don't let it happen again.

Damian Lillard #NBAVote https://t.co/XRDfjGjIJI",1415,0,0,"[{'text': 'NBAVote', 'indices': [61, 69]}]"
639,2016-12-29,Perjuangan hidup ni cuma sebentar untuk meredahi perjalanan akhirat yang panjang,11804,0,0,[]
650,2016-12-29,RT @ammejaa: sticker wips??? i'm not sure where I'm going with these https://t.co/mHDueQ7yu2,122,0,0,[]
662,2016-12-29,mapuyat naku na naman pota,516,0,0,[]
667,2016-12-29,SUSU! #TeamEXO,63,0,0,"[{'text': 'TeamEXO', 'indices': [6, 14]}]"
668,2016-12-29,A Fresh Crystal Reports Approach - 96 #CrystalReports Resources. Please Retweet https://t.co/npy5pKXywl,1839,0,0,"[{'text': 'CrystalReports', 'indices': [38, 53]}]"
690,2016-12-29,"Indahnya antri, melatihan sabar Diri.",17,0,0,[]
695,2016-12-29,I pray to god this is nothing and I'm just overreacting,1056,0,0,[]
696,2016-12-29,@HeyImLunaXO he said it in an interview in china #TeamBTS,12055,0,0,"[{'text': 'TeamBTS', 'indices': [49, 57]}]"
704,2016-12-29,@sssstephany https://t.co/nbGuIEZi5J,821,0,0,[]
709,2016-12-29,RT @BathBombPosts: https://t.co/xZ7hsanzka,133545,0,0,[]
715,2016-12-29,RT @AmaziingPuppies: I need a corgi!  https://t.co/xft5jbDd9t,1941,0,0,[]
717,2016-12-29,"kagaya ka niya, ganyan din siya. ganang ganan",142,0,0,[]
13,2016-12-29,RT @NPT_Management: @SmokeBoyzMusic @TheRealGrafta FT @Bank4Real - 1 Of A Kind https://t.co/pH6btlKHWN,44,0,0,[]
28,2016-12-29,@tatianayorke imma text you,1243,0,0,[]
63,2016-12-29,NIBS TWEET IS ON THE SHOW@,3123,0,0,[]
64,2016-12-29,John_Shaft_1971 #VideoMTV2016 Lady Gaga,173,0,0,"[{'text': 'VideoMTV2016', 'indices': [16, 29]}]"
65,2016-12-29,i know what i deserve so,6429,0,0,[]
68,2016-12-29,@aidentrbl I LOVE B1A4 IMA CRY IMDSJUN,549,0,0,[]
71,2016-12-29,Damn... Mother dies days after her daughter https://t.co/4KKvHg4Tam,1161,0,0,[]
73,2016-12-29,RT @mir_yam24: Sabrina #ALDUB76thWeeksary https://t.co/XnxsmqPePR,2537,0,0,"[{'text': 'ALDUB76thWeeksary', 'indices': [23, 41]}]"
86,2016-12-29,"hip hop lover, let me know, run, butterfly, bst, inu, young forever #TeamBTS https://t.co/DUWOfwjgTj",1461,0,0,"[{'text': 'TeamBTS', 'indices': [68, 76]}]"
90,2016-12-29,"RT @lifebeautiful90: I'm hard to be loved but I promise you'll know my worth one day,  it's a true promise",121,0,0,[]
92,2016-12-29,}You need to see the expensive held for former vice president son and Shehu Shagari's grand daughter (Photos) https://t.co/DgLVdv1lKP,56796,0,0,[]
101,2016-12-29,"With God, all things are possible. -Mt19:26",60,0,0,[]
114,2016-12-29,im kinkshaming,83,0,0,[]
